Device Class	Name	IP	Protocol	Status	Description	Number	Number Of Lines	Web Server	CTI Controllable	Log In UserID	Active Load	Inactive Load	Download Server	Download Status	Download Failure Reason
Phone	CSF00014090	10.254.249.97	SIP	UnRegistered	Heidi Thomas +19204987155	+19204987155-UnRegistered	1	No	True	00014090	Jabber_for_Windows-12.7.1.51081	Jabber_for_Windows-12.7.1.51081		Unknown	
Phone	CSF10520871	10.254.248.48	SIP	UnRegistered	Deb Rezner +19204912603	+19204912603-UnRegistered	1	No	True	10520871	Jabber_for_Windows-12.6.1.34405	Jabber_for_Windows-12.6.1.34405		Unknown	
Phone	CSF11748240	10.254.248.150	SIP	UnRegistered	Sue Jeske +19202729607	+19202729607-UnRegistered	1	No	True	11748240	Jabber_for_Windows-12.6.1.34405	Jabber_for_Windows-12.6.1.34405		Unknown	
Phone	CSF13018483	10.254.250.66	SIP	UnRegistered	Lisa Maas +19204986829	+19204986829-UnRegistered	1	No	True	13018483	Jabber_for_Windows-12.6.1.34405	Jabber_for_Windows-12.6.1.34405		Unknown	
Phone	CSF13767855	10.254.248.37	SIP	UnRegistered	Jason Borley +19204986257	+19204986257-UnRegistered	1	No	True	13767855	Jabber_for_Windows-12.6.1.34405	Jabber_for_Windows-12.6.1.34405		Unknown	
Phone	CSF15002574	10.254.249.19	SIP	UnRegistered	Nancy Novrosky +19200012427	+19200012427-UnRegistered	1	No	True	15002574	Jabber_for_Windows-12.6.1.34405	Jabber_for_Windows-12.6.1.34405		Unknown	
Phone	CSF15003562	10.254.251.23	SIP	UnRegistered	Douglas Nimke +19204985744	+19204985744-UnRegistered	1	No	True	15003562	Jabber_for_Windows-12.6.1.34405	Jabber_for_Windows-12.6.1.34405		Unknown	
Phone	CSF20317018	10.254.248.75	SIP	UnRegistered	John Grant +19204986984	+19204986984-UnRegistered	1	No	True	20317018	Jabber_for_Windows-12.6.1.34405	Jabber_for_Windows-12.6.1.34405		Unknown	
Phone	CSF20833300	10.1.190.42	SIP	UnRegistered	Brittany Delahaut +19204912648	+19204912648-UnRegistered	1	No	True	20833300	Jabber_for_Windows-12.6.1.34405	Jabber_for_Windows-12.6.1.34405		Unknown	
Phone	CSF21450291	10.1.190.42	SIP	UnRegistered	Joan Turba +19204986907	+19204986907-UnRegistered	1	No	True	21450291	Jabber_for_Windows-12.6.1.34405	Jabber_for_Windows-12.6.1.34405		Unknown	
Phone	CSF22040572	10.254.249.223	SIP	UnRegistered	Todd Kiel +19204985704	+19204985704-UnRegistered	1	No	True	22040572	Jabber_for_Windows-12.6.1.34405	Jabber_for_Windows-12.6.1.34405		Unknown	
Phone	CSF22128591	10.1.190.42	SIP	UnRegistered	Hollie Lindemann +19204985624	+19204985624-UnRegistered	1	No	True	22128591	Jabber_for_Windows-11.1.1.22531	Jabber_for_Windows-11.1.1.22531		Unknown	
Phone	SEP00E0DB4549CD	10.210.72.201	SIP	Registered	Lakeshore BT331	+19200011025-Registered	1	No	True	bt331				Unknown	
Phone	BOT00014090	10.1.190.42	SIP	UnRegistered	Heidi Thomas +19204987155	+19204987155-UnRegistered	1	No	True	00014090	Jabber_for_Android-12.8.1.302528	Jabber_for_Android-12.8.1.302528		Unknown	
Phone	BOT15002873	10.1.190.41	SIP	UnRegistered	Caryn Earehart +19204985446	+19204985446-UnRegistered	1	No	True	15002873	Jabber_for_Android-12.8.1.302528	Jabber_for_Android-12.8.1.302528		Unknown	
Phone	BOT23450669	10.1.190.41	SIP	UnRegistered	Ross Stainton +19204986301	+19204986301-UnRegistered	1	No	True	23450669	Jabber_for_Android-12.8.1.302528	Jabber_for_Android-12.8.1.302528		Unknown	
Phone	CSF00000082	10.254.248.223	SIP	UnRegistered	Jan Flegel +19204985430	+19204985430-UnRegistered	1	No	True	00000082	Jabber_for_Windows-12.6.1.34405	Jabber_for_Windows-12.6.1.34405		Unknown	
Phone	CSF00000244	10.254.249.146	SIP	UnRegistered	Janice Elliot +19204985408	+19204985408-UnRegistered	1	No	True	00000244	Jabber_for_Windows-12.6.1.34405	Jabber_for_Windows-12.6.1.34405		Unknown	
Phone	CSF00000270	10.165.0.136	SIP	UnRegistered	Diane Berzinski +19204986922	+19204986922-UnRegistered	1	No	True	00000270	Jabber_for_Windows-12.7.1.51081	Jabber_for_Windows-12.7.1.51081		Unknown	
Phone	CSF00000299	10.254.249.57	SIP	UnRegistered	Pam Ray +19204985402	+19204985402-UnRegistered	1	No	True		Jabber_for_Windows-12.6.1.34405	Jabber_for_Windows-12.6.1.34405		Unknown	
Phone	CSF00000445	10.254.248.151	SIP	Registered	James Boland +19204987964	+19204987964-Registered	1	No	True	00000445	Jabber_for_Windows-12.6.1.34405	Jabber_for_Windows-12.6.1.34405		Unknown	
Phone	CSF00000465	10.254.251.20	SIP	Registered	Barb Schaden +19204986961	+19204986961-Registered	1	No	True	00000465	Jabber_for_Windows-12.6.1.34405	Jabber_for_Windows-12.6.1.34405		Unknown	
Phone	CSF00000905	10.92.2.54	SIP	UnRegistered	Sherry Olive +19204985571	+19204985571-UnRegistered	1	No	True	00000905	Jabber_for_Windows-12.6.1.34405	Jabber_for_Windows-12.6.1.34405		Unknown	
Phone	CSF00001592	10.254.248.31	SIP	UnRegistered	Kathy Kimps +19204985543	+19204985543-UnRegistered	1	No	True	00001592	Jabber_for_Windows-12.6.1.34405	Jabber_for_Windows-12.6.1.34405		Unknown	
Phone	CSF00001923	10.254.251.30	SIP	UnRegistered	Diane Orlando +19204985743	+19204985743-UnRegistered	1	No	True	00001923	Jabber_for_Windows-12.6.1.34405	Jabber_for_Windows-12.6.1.34405		Unknown	
Phone	CSF00002374	10.254.254.141	SIP	UnRegistered	Anne Klein +19204985499	+19204985499-UnRegistered	1	No	True	00002374	Jabber_for_Windows-12.6.1.34405	Jabber_for_Windows-12.6.1.34405		Unknown	
